iter	Passed	Remaining
541	1027	868
542	1029	866
543	1031	864
544	1033	862
545	1034	860
546	1036	858
547	1039	857
548	1041	855
549	1042	853
550	1045	851
551	1047	849
552	1049	847
553	1050	845
554	1055	846
555	1058	844
556	1059	843
557	1062	841
558	1064	839
559	1066	838
560	1069	836
561	1070	834
562	1072	832
563	1074	830
564	1076	828
565	1079	827
566	1083	827
567	1085	825
568	1086	823
569	1088	821
570	1090	819
571	1092	817
572	1094	815
573	1096	813
574	1098	811
575	1100	809
576	1101	807
577	1104	806
578	1106	804
579	1108	802
580	1109	800
581	1111	798
582	1112	795
583	1114	793
584	1116	791
585	1118	790
586	1120	788
587	1121	785
588	1123	784
589	1125	782
590	1127	780
591	1129	778
592	1131	776
593	1132	774
594	1134	772
595	1136	770
596	1138	768
597	1139	766
598	1141	764
599	1143	762
600	1145	760
601	1146	758
602	1149	756
603	1151	755
604	1153	753
605	1155	751
606	1157	749
607	1159	747
608	1161	745
609	1163	743
610	1164	741
611	1167	739
612	1169	738
613	1171	736
614	1173	734
615	1175	732
616	1177	730
617	1178	728
618	1180	726
619	1182	724
620	1183	722
621	1185	720
622	1186	718
623	1188	715
624	1189	713
625	1191	712
626	1193	710
627	1195	708
628	1196	705
629	1198	703
630	1200	701
631	1201	699
632	1203	697
633	1205	695
634	1206	693
635	1208	691
636	1210	689
637	1212	687
638	1214	685
639	1215	683
640	1216	681
641	1218	679
642	1219	677
643	1221	675
644	1223	673
645	1225	671
646	1227	669
647	1229	667
648	1231	665
649	1232	663
650	1234	661
651	1237	660
652	1238	658
653	1240	656
654	1241	653
655	1242	651
656	1244	649
657	1246	647
658	1248	646
659	1253	645
660	1256	644
661	1258	642
662	1260	640
663	1262	638
664	1264	636
665	1266	635
666	1268	633
667	1270	631
668	1272	629
669	1274	627
670	1276	625
671	1278	623
672	1279	621
673	1281	620
674	1283	617
675	1285	616
676	1286	613
677	1288	611
678	1290	610
679	1291	607
680	1292	605
681	1294	603
682	1297	602
683	1299	600
684	1300	598
685	1301	595
686	1303	593
687	1306	592
688	1308	590
689	1310	588
690	1312	586
691	1314	584
692	1316	583
693	1317	581
694	1319	579
695	1321	577
696	1323	575
697	1325	573
698	1327	571
699	1330	570
700	1332	568
701	1334	566
702	1336	564
703	1337	562
704	1339	560
705	1341	558
706	1343	556
707	1345	554
708	1346	552
709	1348	550
710	1351	549
711	1353	547
712	1355	545
713	1357	543
714	1359	541
715	1360	539
716	1362	537
717	1364	535
718	1366	534
719	1369	532
720	1371	530
721	1373	528
722	1375	527
723	1377	525
724	1380	523
725	1382	521
726	1384	519
727	1386	517
728	1388	516
729	1391	514
730	1393	512
731	1395	510
732	1396	508
733	1398	506
734	1400	505
735	1402	503
736	1404	501
737	1406	499
738	1407	497
739	1410	495
740	1412	493
741	1414	491
742	1415	489
743	1417	487
744	1419	485
745	1420	483
746	1422	481
747	1426	480
748	1429	478
749	1431	477
750	1433	475
751	1435	473
752	1437	471
753	1439	469
754	1441	467
755	1442	465
756	1444	463
757	1446	461
758	1448	459
759	1450	458
760	1453	456
761	1456	454
762	1457	452
763	1459	450
764	1462	449
765	1464	447
766	1466	445
767	1468	443
768	1470	441
769	1472	439
770	1474	437
771	1476	435
772	1478	434
773	1479	432
774	1481	430
775	1483	428
776	1485	426
777	1487	424
778	1489	422
779	1491	420
780	1492	418
781	1494	416
782	1496	414
783	1498	412
784	1501	411
785	1502	409
786	1503	407
787	1505	404
788	1506	402
789	1507	400
790	1508	398
791	1509	396
792	1510	394
793	1511	392
794	1513	390
795	1517	388
796	1521	387
797	1526	386
798	1527	384
799	1529	382
800	1531	380
801	1533	378
802	1535	376
803	1537	374
804	1539	373
805	1542	371
806	1543	369
807	1545	367
808	1547	365
809	1549	363
810	1551	361
811	1553	359
812	1554	357
813	1557	355
814	1558	353
815	1561	352
816	1562	350
817	1564	348
818	1567	346
819	1569	344
820	1571	342
821	1573	340
822	1574	338
823	1576	336
824	1578	334
825	1580	332
826	1582	330
827	1584	329
828	1585	327
829	1587	325
830	1589	323
831	1591	321
832	1593	319
833	1594	317
834	1596	315
835	1598	313
836	1600	311
837	1601	309
838	1603	307
839	1607	306
840	1609	304
841	1611	302
842	1612	300
843	1614	298
844	1616	296
845	1618	294
846	1619	292
847	1621	290
848	1623	288
849	1624	286
850	1626	284
851	1627	282
852	1629	280
853	1630	278
854	1632	276
855	1633	274
856	1635	272
857	1636	270
858	1637	268
859	1639	266
860	1641	264
861	1643	263
862	1644	261
863	1646	259
864	1647	257
865	1649	255
866	1651	253
867	1653	251
868	1654	249
869	1656	247
870	1658	245
871	1659	243
872	1661	241
873	1663	239
874	1665	237
875	1666	235
876	1668	234
877	1670	232
878	1672	230
879	1674	228
880	1676	226
881	1677	224
882	1679	222
883	1681	220
884	1682	218
885	1684	216
886	1686	214
887	1688	212
888	1690	211
889	1691	209
890	1693	207
891	1695	205
892	1696	203
893	1698	201
894	1700	199
895	1701	197
896	1703	195
897	1705	193
898	1706	191
899	1708	189
900	1710	187
901	1711	185
902	1713	184
903	1715	182
904	1716	180
905	1718	178
906	1719	176
907	1721	174
908	1723	172
909	1724	170
910	1726	168
911	1728	166
912	1729	164
913	1731	162
914	1732	160
915	1734	159
916	1736	157
917	1737	155
918	1739	153
919	1741	151
920	1743	149
921	1745	147
922	1746	145
923	1748	143
924	1750	141
925	1752	140
926	1753	138
927	1755	136
928	1757	134
929	1759	132
930	1761	130
931	1762	128
932	1764	126
933	1766	124
934	1768	122
935	1770	121
936	1771	119
937	1774	117
938	1776	115
939	1777	113
940	1779	111
941	1784	109
942	1787	108
943	1789	106
944	1791	104
945	1793	102
946	1795	100
947	1797	98
948	1798	96
949	1800	94
950	1802	92
951	1804	90
952	1806	89
953	1808	87
954	1809	85
955	1811	83
956	1812	81
957	1814	79
958	1816	77
959	1817	75
960	1818	73
961	1819	71
962	1821	69
963	1823	68
964	1824	66
965	1825	64
966	1827	62
967	1829	60
968	1830	58
969	1833	56
970	1835	54
971	1836	52
972	1838	51
973	1840	49
974	1841	47
975	1843	45
976	1845	43
977	1847	41
978	1849	39
979	1851	37
980	1853	35
981	1855	34
982	1857	32
983	1859	30
984	1861	28
985	1862	26
986	1864	24
987	1866	22
988	1868	20
989	1870	18
990	1872	17
991	1873	15
992	1875	13
993	1877	11
994	1879	9
995	1881	7
996	1883	5
997	1885	3
998	1887	1
999	1889	0
